,Trial #,# of Topics,Topic #,Top Words,Label(s),Interpretability,Related or Similar to,Notes
0,Trial #1,3,1,"hair, fragrance, skin, face, wear, smell, product, body, long, scent, style, check, number, wash, sure, help, hairstyle, apply, oil, clean, beard, note, easy, mean, type",,,,
1,Trial #1,3,2,"life, woman, help, new, mean, love, old, number, tell, body, money, change, friend, level, today, learn, big, easy, long, girl, hard, stop, build, sure, care",,,,
2,Trial #1,3,3,"wear, shirt, style, jacket, color, fit, shoe, dress, suit, pair, casual, outfit, black, pants, boot, love, nice, leather, sweater, brand, different, white, short, sneaker, long",,,,
3,Trial #2,4,1,"hair, fragrance, skin, face, wear, smell, product, body, scent, long, style, check, wash, hairstyle, apply, number, beard, oil, sure, help, clean, note, type, recommend, eye",,,,
4,Trial #2,4,2,"life, woman, help, mean, number, new, body, old, tell, love, change, friend, money, level, learn, today, girl, easy, stop, hard, build, self, relationship, care, big",,,,
5,Trial #2,4,3,"wear, shirt, style, jacket, color, shoe, fit, dress, suit, casual, outfit, pair, black, pants, boot, sweater, leather, sneaker, jeans, white, short, nice, love, different, brown",,,,
6,Trial #2,4,4,"car, love, brand, new, pretty, big, cool, nice, small, stuff, wear, money, mean, different, sure, wine, long, house, super, sort, link, hair, bag, product, case",,,,
7,Trial #3,5,1,"hair, skin, face, product, wear, long, style, body, hairstyle, beard, number, apply, help, wash, sure, oil, eye, step, type, easy, bad, dry, mean, shirt, old",,,,
8,Trial #3,5,2,"life, woman, help, new, mean, number, love, tell, body, old, change, friend, money, level, learn, today, girl, easy, stop, hard, build, relationship, self, care, big",,,,
9,Trial #3,5,3,"wear, shirt, style, jacket, color, shoe, fit, dress, suit, casual, pair, outfit, black, boot, pants, sweater, leather, sneaker, jeans, white, nice, short, love, different, brown",,,,
10,Trial #3,5,4,"car, pretty, brand, love, small, new, big, stuff, nice, cool, money, super, bag, long, link, hair, house, mean, sure, wear, cheap, product, sort, different, room",,,,
11,Trial #3,5,5,"fragrance, smell, scent, wear, note, love, cologne, check, definitely, fresh, list, recommend, clean, bottle, new, warm, different, wine, masculine, body, compliment, nice, style, base, mean",,,,
12,Trial #4,6,1,"hair, skin, face, product, long, wear, style, hairstyle, help, apply, beard, wash, sure, body, oil, shirt, number, type, step, eye, dry, easy, clean, grow, cut",,,,
13,Trial #4,6,2,"life, woman, help, new, mean, old, tell, love, friend, number, change, learn, money, girl, today, body, relationship, stop, self, build, easy, hard, confidence, care, respect",,,,
14,Trial #4,6,3,"wear, shirt, style, jacket, color, fit, dress, shoe, suit, casual, pair, outfit, black, pants, boot, sweater, leather, sneaker, jeans, white, nice, short, love, brown, different",,,,
15,Trial #4,6,4,"car, brand, small, pretty, love, cool, big, new, sort, wine, stuff, different, nice, super, size, house, link, old, phone, case, sure, long, hand, wear, wallet",,,,
16,Trial #4,6,5,"fragrance, smell, scent, wear, note, cologne, love, check, definitely, fresh, list, recommend, clean, warm, body, bottle, masculine, different, compliment, new, base, smooth, nice, style, light",,,,
17,Trial #4,6,6,"body, wear, testosterone, number, high, money, level, mean, bad, love, new, big, long, tooth, quality, sleep, low, stuff, hair, check, eat, water, product, sure, drink",,,,
18,Trial #5,7,1,"wear, shirt, hair, style, long, fit, hairstyle, pants, belt, dress, outfit, short, color, button, face, sure, suit, shoe, mean, jacket, cut, clothing, easy, different, collar",,,,
19,Trial #5,7,2,"life, woman, help, new, mean, tell, old, love, friend, number, change, learn, girl, today, money, relationship, body, self, build, stop, easy, hard, confidence, goal, respect",,,,
20,Trial #5,7,3,"wear, shirt, jacket, style, color, dress, shoe, fit, casual, pair, suit, outfit, black, boot, sweater, leather, sneaker, jeans, white, brown, pants, nice, love, different, polo",,,,
21,Trial #5,7,4,"car, small, pretty, cool, brand, love, super, big, sort, nice, stuff, factor, meal, new, desk, different, old, room, wallet, house, link, phone, size, eat, light",,,,
22,Trial #5,7,5,"fragrance, scent, smell, wear, note, love, cologne, check, definitely, fresh, list, recommend, warm, different, masculine, bottle, compliment, style, clean, new, nice, base, classic, light, woody",,,,
23,Trial #5,7,6,"wear, money, brand, love, new, high, mean, shoe, quality, spend, stuff, long, bag, number, nice, big, pretty, testosterone, okay, case, cheap, check, low, product, sure",,,,
24,Trial #5,7,7,"skin, hair, face, body, product, help, wash, apply, beard, number, oil, sure, step, bad, routine, water, eye, clean, long, tooth, skincare, dry, sleep, second, old",,,,
25,Trial #6,8,1,"wear, shirt, dress, fit, style, shoe, outfit, color, pants, belt, suit, jacket, clothing, short, button, long, sure, collar, casual, big, black, mean, tie, sleeve, number",,,,
26,Trial #6,8,2,"life, woman, help, new, mean, tell, old, friend, love, change, number, learn, girl, relationship, money, today, self, body, build, stop, hard, confidence, easy, goal, respect",,,,
27,Trial #6,8,3,"wear, style, jacket, color, shirt, pair, casual, dress, suit, shoe, fit, outfit, sweater, boot, black, brown, leather, sneaker, jeans, white, classic, nice, wardrobe, polo, piece",,,,
28,Trial #6,8,4,"car, small, pretty, brand, super, love, factor, meal, big, end, nice, wallet, desk, cool, different, phone, stuff, size, new, link, old, sort, long, eat, key",,,,
29,Trial #6,8,5,"fragrance, scent, smell, wear, note, love, cologne, check, fresh, definitely, list, recommend, warm, different, compliment, bottle, masculine, style, clean, new, nice, base, light, woody, space",,,,
30,Trial #6,8,6,"wear, money, brand, shoe, love, new, high, boot, quality, bag, pretty, mean, nice, spend, long, fit, stuff, big, case, cheap, okay, check, sure, number, size",,,,
31,Trial #6,8,7,"body, skin, wine, old, beard, testosterone, level, help, hair, check, love, sure, wash, new, clean, big, mean, hat, long, razor, today, recommend, definitely, product, health",,,,
32,Trial #6,8,8,"hair, skin, face, product, hairstyle, long, body, apply, number, help, oil, step, wash, water, eye, second, type, bad, style, tooth, sure, dry, easy, attractive, minute",,,,
33,Trial #7,9,1,"wear, shirt, fit, pants, dress, outfit, shoe, belt, color, style, short, button, long, suit, collar, sure, big, sleeve, casual, mean, jacket, black, nice, different, tuck",,,,
34,Trial #7,9,2,"life, woman, help, new, mean, tell, friend, number, change, old, learn, love, girl, relationship, money, body, self, today, stop, build, confidence, hard, easy, goal, respect",,,,
