,Trial #,# of Topics,Topic #,Top Words,Label(s),Interpretability,Related or Similar to,Notes
0,Trial #1,3,1,"hair, fragrance, skin, face, smell, product, body, scent, long, wear, wash, hairstyle, check, apply, number, help, oil, clean, beard, sure, note, recommend, dry, water, cologne",,,,
1,Trial #1,3,2,"life, woman, new, help, mean, love, old, money, tell, number, change, body, friend, big, today, level, learn, easy, hard, stop, girl, build, long, care, sure",,,,
2,Trial #1,3,3,"wear, shirt, style, color, jacket, shoe, fit, dress, suit, outfit, pair, casual, black, pants, boot, leather, nice, love, sweater, different, short, white, brand, sneaker, jeans",,,,
3,Trial #2,4,1,"hair, fragrance, skin, face, smell, product, body, scent, wear, long, wash, hairstyle, apply, check, beard, number, help, oil, clean, sure, note, recommend, dry, type, step",,,,
4,Trial #2,4,2,"life, woman, help, mean, number, old, new, tell, body, change, friend, love, learn, level, girl, money, today, stop, easy, hard, self, care, confidence, build, relationship",,,,
5,Trial #2,4,3,"wear, shirt, style, jacket, color, shoe, dress, fit, suit, outfit, casual, pair, pants, black, boot, sweater, leather, sneaker, short, jeans, white, nice, button, brown, different",,,,
6,Trial #2,4,4,"brand, love, new, car, pretty, money, nice, cool, big, stuff, small, different, house, mean, super, wear, sort, spend, wine, bag, quality, case, room, link, long",,,,
7,Trial #3,5,1,"hair, skin, face, body, product, long, wash, number, hairstyle, help, apply, beard, oil, sure, eye, bad, step, dry, type, skincare, style, water, natural, routine, tooth",,,,
8,Trial #3,5,2,"life, woman, help, mean, new, tell, old, number, friend, change, love, learn, level, body, money, today, girl, stop, self, hard, build, easy, confidence, care, relationship",,,,
9,Trial #3,5,3,"wear, shirt, style, jacket, color, shoe, dress, fit, suit, outfit, casual, pair, pants, black, boot, sweater, leather, sneaker, short, white, jeans, nice, button, different, brown",,,,
10,Trial #3,5,4,"brand, car, love, new, pretty, small, money, stuff, big, nice, cool, super, house, bag, sort, room, spend, link, cheap, mean, different, long, quality, size, case",,,,
11,Trial #3,5,5,"fragrance, smell, scent, wear, note, cologne, love, check, fresh, definitely, list, bottle, recommend, warm, wine, clean, masculine, compliment, different, base, smooth, new, woody, spray, spicy",,,,
12,Trial #4,6,1,"hair, skin, face, product, long, body, wash, hairstyle, apply, help, beard, oil, eye, sure, style, number, dry, step, type, skincare, easy, routine, attractive, grow, clean",,,,
13,Trial #4,6,2,"life, woman, help, new, mean, old, tell, friend, change, learn, love, money, girl, number, today, confidence, self, build, relationship, stop, care, hard, understand, easy, respect",,,,
14,Trial #4,6,3,"wear, shirt, style, jacket, color, shoe, fit, dress, suit, outfit, casual, pair, pants, black, boot, sweater, leather, sneaker, short, white, jeans, nice, button, brown, different",,,,
15,Trial #4,6,4,"brand, car, love, small, pretty, new, cool, nice, big, wine, stuff, sort, different, case, size, house, space, thank, room, bag, phone, super, wallet, link, millimeter",,,,
16,Trial #4,6,5,"fragrance, smell, scent, wear, note, cologne, love, check, fresh, definitely, list, recommend, warm, clean, bottle, masculine, compliment, base, smooth, spray, different, woody, spicy, new, crisp",,,,
17,Trial #4,6,6,"body, testosterone, number, sleep, level, eat, high, bad, fat, money, big, basically, drink, mean, low, love, literally, quality, food, minute, week, morning, healthy, increase, link",,,,
18,Trial #5,7,1,"wear, shirt, hair, style, fit, long, belt, short, pants, suit, dress, hairstyle, clothing, big, sure, button, cut, shoe, mean, body, length, outfit, color, inch, different",,,,
19,Trial #5,7,2,"life, woman, help, new, mean, old, friend, tell, change, learn, love, girl, number, today, confidence, self, relationship, stop, build, money, easy, hard, care, goal, respect",,,,
20,Trial #5,7,3,"wear, jacket, shirt, color, style, shoe, dress, pair, casual, outfit, fit, suit, boot, black, sweater, sneaker, leather, white, brown, jeans, nice, polo, classic, piece, wardrobe",,,,
21,Trial #5,7,4,"car, cool, wine, small, pretty, room, sort, love, nice, meal, big, super, wallet, house, space, phone, stuff, different, light, eat, factor, old, desk, gift, new",,,,
22,Trial #5,7,5,"fragrance, smell, scent, wear, note, cologne, love, check, fresh, definitely, list, warm, recommend, bottle, masculine, compliment, clean, different, base, smooth, spicy, woody, spray, new, beautiful",,,,
23,Trial #5,7,6,"brand, wear, money, new, love, spend, high, mean, quality, stuff, pretty, big, case, long, bag, cheap, okay, nice, product, price, number, small, size, check, expensive",,,,
24,Trial #5,7,7,"skin, hair, face, body, product, help, wash, number, apply, oil, beard, routine, step, bad, water, sure, eye, sleep, skincare, testosterone, tooth, dry, second, minute, clean",,,,
25,Trial #6,8,1,"wear, shirt, dress, fit, shoe, style, suit, color, pants, belt, short, clothing, jacket, outfit, long, button, sure, big, collar, body, black, mean, tie, casual, fabric",,,,
26,Trial #6,8,2,"life, woman, help, new, mean, friend, tell, change, learn, old, love, number, girl, confidence, today, self, relationship, stop, money, build, goal, hard, easy, care, respect",,,,
27,Trial #6,8,3,"wear, style, jacket, color, shirt, pair, casual, outfit, boot, shoe, sweater, dress, suit, sneaker, black, fit, brown, leather, classic, white, jeans, wardrobe, polo, nice, piece",,,,
28,Trial #6,8,4,"car, small, room, meal, phone, wallet, pretty, factor, super, eat, nice, cool, desk, light, big, love, house, gift, key, end, link, different, space, stuff, drive",,,,
29,Trial #6,8,5,"fragrance, smell, scent, wear, note, cologne, love, check, fresh, definitely, warm, list, recommend, masculine, bottle, compliment, clean, different, base, smooth, spray, woody, spicy, nice, unique",,,,
30,Trial #6,8,6,"brand, wear, money, new, love, pretty, nice, quality, shoe, spend, mean, stuff, bag, big, high, okay, case, long, size, price, cool, cheap, collection, different, super",,,,
31,Trial #6,8,7,"body, testosterone, old, level, wine, beard, skin, help, sleep, check, wash, razor, sure, health, shave, big, fat, healthy, natural, reduce, age, high, hair, hat, young",,,,
32,Trial #6,8,8,"hair, skin, face, product, hairstyle, number, apply, long, body, oil, help, eye, step, wash, water, second, type, tooth, dry, attractive, routine, minute, bad, sure, skincare",,,,
33,Trial #7,9,1,"wear, shirt, fit, dress, shoe, pants, short, belt, color, suit, outfit, long, style, button, sure, big, collar, sleeve, mean, jacket, body, jeans, clothing, inch, different",,,,
34,Trial #7,9,2,"life, woman, help, new, mean, friend, tell, change, learn, number, girl, love, old, relationship, money, self, stop, today, goal, build, confidence, hard, easy, understand, respect",,,,
35,Trial #7,9,3,"wear, jacket, color, shirt, pair, casual, outfit, boot, sweater, black, style, suit, shoe, brown, dress, white, sneaker, nice, fit, leather, light, polo, blue, different, dark",,,,
36,Trial #7,9,4,"car, small, meal, phone, wallet, factor, desk, eat, super, gift, pretty, nice, key, drive, old, love, big, fat, card, calorie, brand, space, different, link, light",,,,
37,Trial #7,9,5,"fragrance, smell, scent, note, wear, cologne, love, check, fresh, definitely, warm, bottle, recommend, compliment, list, base, masculine, different, spray, woody, smooth, clean, spicy, unique, new",,,,
38,Trial #7,9,6,"wear, brand, money, love, shoe, quality, new, high, case, spend, bag, cheap, pretty, size, price, leather, stuff, mean, expensive, long, big, dial, check, rolex, small",,,,
39,Trial #7,9,7,"testosterone, wine, love, level, big, cool, sleep, old, body, new, room, mean, stuff, sure, pretty, amazing, house, drink, sort, help, place, different, today, link, basically",,,,
40,Trial #7,9,8,"hair, skin, face, product, body, wash, long, number, apply, hairstyle, help, oil, step, beard, eye, dry, skincare, water, routine, type, sure, second, tooth, bad, natural",,,,
